molecule_chembl_id,clean_smiles,pchembl_value,label,mol_weight,scaffold,n_measurements
CHEMBL3416599,Brc1cc2c(NCc3ccccc3)ncnc2s1,6.62,0,320.21500000000003,c1ccc(CNc2ncnc3sccc23)cc1,1
CHEMBL3416616,Brc1cc2c(NCc3ccccn3)ncnc2s1,5.1,0,321.20300000000003,c1ccc(CNc2ncnc3sccc23)nc1,1
CHEMBL3416619,Brc1cc2c(NCc3cccs3)ncnc2s1,5.86,0,326.244,c1csc(CNc2ncnc3sccc23)c1,1
CHEMBL3416614,Brc1cc2c(NCc3ccncc3)ncnc2s1,5.41,0,321.20300000000003,c1cc(CNc2ncnc3sccc23)ccn1,1
CHEMBL3416621,Brc1cc2c(Nc3ccccc3)ncnc2s1,7.1,1,306.18800000000005,c1ccc(Nc2ncnc3sccc23)cc1,1
CHEMBL2325098,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.15,0,427.34500000000014,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,1
CHEMBL2325091,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.31,0,427.34500000000014,c1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,1
CHEMBL1821878,Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,5.05,0,539.296,c1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccccc3)C2)cc1,1
CHEMBL1928712,Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.5,0,484.1950000000001,c1ccc(CNc2ccc3ncnc(Nc4ccccc4)c3c2)cc1,1
CHEMBL381306,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.869999999999999,0,383.249,c1ccc(CNc2ncnc3c2NCc2ccccc2O3)cc1,2
CHEMBL382862,Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.0,0,369.22200000000004,c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,1
CHEMBL554983,Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1,7.085,1,339.1960000000001,c1ccc(Nc2[nH]cnc3c4ccccc4nc2-3)cc1,2
CHEMBL423224,Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,7.51,1,339.1960000000001,c1ccc(Nc2[nH]cnc3nc4ccccc4c2-3)cc1,3
CHEMBL37346,Brc1cccc(Nc2ccnc3ccccc23)c1,5.26,0,299.17100000000005,c1ccc(Nc2ccnc3ccccc23)cc1,2
CHEMBL72393,Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,6.87,0,343.22800000000024,c1ccc(Nc2ncnc3[nH]c4c(c23)CCCC4)cc1,2
CHEMBL5181237,Brc1cccc(Nc2ncnc3[nH]ccc23)c1,8.43,1,289.136,c1ccc(Nc2ncnc3[nH]ccc23)cc1,6
CHEMBL383614,Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,5.57,0,448.11800000000017,c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,2
CHEMBL203219,Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.279999999999999,0,369.22200000000015,c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,2
CHEMBL5198809,Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,7.14,1,339.1960000000001,c1ccc(Nc2ncnc3c2[nH]c2ccccc23)cc1,1
CHEMBL155100,Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,6.57,0,340.184,c1ccc(Nc2ncnc3c2ccc2[nH]cnc23)cc1,2
CHEMBL149512,Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.13,0,340.18000000000006,c1ccc(Nc2ncnc3c2oc2ccccc23)cc1,1
