Model,Split,ROC-AUC,PR-AUC,EF1%,EF5%,P@50,P@100
GCN-256,random,0.9044496592299833,0.8999836018019657,1.9620493358633777,1.9235777802582132,0.98,0.98
GCN-256,scaffold,0.8070788421230627,0.740083673501881,2.56575682382134,2.364520994502019,0.92,0.89
GCN-256-reg,random,0.9111490368241206,0.9125039425554359,1.9620493358633777,1.9235777802582132,0.98,0.98
GCN-256-reg,scaffold,0.7803301703153449,0.6731120354520258,1.796029776674938,1.8111224638738872,0.7,0.8
GCN-256-vn,random,0.9016389147756831,0.9024013570586383,1.9620493358633777,1.9620493358633777,1.0,0.99
GCN-256-vn,scaffold,0.791978151187803,0.7125911359157475,2.3091811414392063,2.263903079842359,0.88,0.89
AttentiveFP,random,0.9188963617514193,0.9109983105032098,1.7658444022770399,1.8851062246530492,0.96,0.97
AttentiveFP,scaffold,0.78239471790415,0.6907040601125396,1.28287841191067,2.1632851651826983,0.84,0.83
AttFP-reg-vn,random,0.9036711840682063,0.9072951846118052,1.9620493358633777,1.9620493358633777,1.0,0.98
AttFP-reg-vn,scaffold,0.7502526613001537,0.653327799286415,2.56575682382134,2.062667250523038,0.82,0.74
